country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Liberia,6,5,3,4,4,4,5,5,6,6,,5,5,5,5,5,5,5,7,6,6,6,6,6,6,5,5,5,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3
Libya,6,7,7,6,6,6,6,6,7,6,,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,6,6,6,6,6
Liechtenstein,2,2,2,2,2,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Lithuania,,,,,,,,,,,,,,,,,,,,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Luxembourg,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Madagascar,3,4,4,5,5,5,6,6,6,6,,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
Malawi,6,6,6,6,6,6,7,7,7,7,,7,7,7,7,7,7,6,6,6,7,5,3,3,3,3,3,3,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,3,3
Malaysia,3,3,3,4,4,4,4,4,4,4,,4,5,5,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Maldives,2,2,2,4,4,4,5,5,5,5,,5,5,5,6,6,6,5,5,5,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,5
Mali,6,6,6,7,7,7,6,6,6,6,,6,6,6,6,6,6,6,5,4,3,3,4,3,2,3,3,3,3,3,3,2,2,2,2,3,3,3,3,3,5,4,4,4,4,4,4
Malta,2,1,1,1,2,2,2,3,3,3,,4,4,4,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Marshall Islands,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mauritania,6,6,6,6,6,6,6,6,6,6,,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5
Mauritius,2,2,2,2,2,2,4,4,3,3,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
Mexico,3,3,3,3,4,3,4,4,4,4,,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,3,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Moldova,,,,,,,,,,,,,,,,,,,,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4
Monaco,2,2,2,2,2,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Mongolia,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,4,3,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,2,2,2,2,2,3,3,3,3
Morocco,4,5,5,5,5,4,4,4,4,5,,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5
Mozambique,,,,6,7,7,7,7,7,7,,6,7,7,7,7,7,7,6,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,4
Myanmar,5,5,5,6,6,6,6,6,6,6,,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,5,5,6,5,5,5,5
Namibia,5,5,5,,,,,,,,,,,,,,,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Nauru,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Nepal,5,5,5,5,5,5,5,4,4,4,,4,4,4,4,4,4,5,4,3,3,4,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4
Netherlands,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
New Zealand,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nicaragua,3,4,4,4,5,5,5,5,5,5,,5,5,5,6,5,4,5,3,3,3,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,4,4,5
Niger,6,6,6,6,6,6,6,6,6,6,,6,6,6,6,6,6,6,5,5,4,4,5,5,5,5,5,5,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
Nigeria,4,4,4,5,4,4,3,3,3,3,,3,5,5,5,5,5,5,5,4,4,5,6,7,6,6,4,3,4,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5
North Korea,7,7,7,7,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
North Macedonia,,,,,,,,,,,,,,,,,,,,,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Norway,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oman,6,6,6,6,6,6,6,6,6,6,,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pakistan,5,5,5,5,5,4,5,5,5,5,,5,5,5,5,5,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Palau,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Panama,6,6,6,6,6,5,5,5,4,5,,4,3,3,3,5,5,6,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Papua New Guinea,,,,2,2,2,2,2,2,2,,2,2,2,2,2,3,2,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Paraguay,6,5,5,5,6,6,5,5,5,5,,5,5,5,6,6,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Peru,5,5,6,4,4,4,4,4,3,3,,3,3,3,3,3,3,4,4,5,5,5,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Philippines,6,5,5,5,5,5,5,5,5,4,,5,4,3,2,2,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Poland,6,6,6,6,6,5,5,5,4,5,,5,5,5,5,5,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
Portugal,6,6,3,3,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Qatar,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Romania,6,6,6,6,6,6,6,6,6,6,,6,7,7,7,7,7,7,5,5,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Russia,,,,,,,,,,,,,,,,,,,,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6
Rwanda,6,6,5,5,5,5,6,6,6,6,,6,6,6,6,6,6,6,6,6,5,5,7,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,5,6,6,6,6,6
Samoa,2,2,2,2,2,2,2,2,3,3,,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
San Marino,2,2,2,2,2,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sao Tome and Principe,,,,5,5,5,6,6,6,6,,7,7,7,7,7,7,5,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Saudi Arabia,6,6,6,6,6,6,6,6,6,6,,7,7,7,7,7,7,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,7,7,7,7,7,7,7,7
Senegal,6,6,5,4,4,3,3,4,4,4,,4,4,4,4,4,4,3,3,3,3,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,3
Seychelles,,,,,2,3,5,6,6,6,,6,6,6,6,6,6,6,6,6,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Sierra Leone,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,6,6,6,6,5,6,5,5,5,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Singapore,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,4,3,3,4,4,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
Slovenia,,,,,,,,,,,,,,,,,,,,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Solomon Islands,,,,,,,2,2,2,2,,2,3,3,2,2,2,1,1,1,1,2,2,2,2,2,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2
Somalia,6,6,6,6,7,7,7,7,7,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
South Africa,4.5,5,5,5,5,6,6,6,6,6,,6,6,6,6,6,6,5,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
South Korea,6,6,6,5,6,5,5,5,6,5,,6,5,5,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,6,6,6,7,7,7
Spain,6,6,5,5,3,3,2,2,3,3,,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sri Lanka,3,3,3,4,3,2,3,3,3,3,,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,5,4,4,4,4
St. Kitts and Nevis,,,,,,,,,,,,2,1,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
St. Lucia,,,,,,,,3,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
St. Vincent and the Grenadines,,,,,,,,2,2,2,,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sudan,6,6,6,6,6,5,5,5,5,5,,5,6,6,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Suriname,,,,2,2,2,2,2,5,5,,6,6,6,6,4,2,3,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,3
Swaziland,2,4,4,4,4,4,5,5,5,5,,5,6,6,6,6,6,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6
Sweden,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Switzerland,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Syria,7,7,7,7,6,6,6,6,7,7,,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,7,7,7,7,7,7,7,7
Tajikistan,,,,,,,,,,,,,,,,,,,,5,6,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6
Tanzania,6,6,6,6,6,6,6,6,6,6,,6,6,6,6,6,6,6,5,5,5,5,6,5,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5
Thailand,5,3,3,3,6,5,4,4,4,4,,4,4,4,3,3,3,3,3,4,4,5,5,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3
Togo,5,5,6,6,6,6,6,7,6,6,,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4
Tonga,2,3,3,3,3,3,3,3,3,3,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2
Trinidad and Tobago,3,2,2,2,2,2,2,2,2,2,,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tunisia,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,4,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,3,3,3
Turkey,4,4,3,3,3,3,3,3,5,5,,5,5,5,4,4,4,3,4,4,4,4,5,5,5,5,5,5,5,5,4,4,3,3,3,3,3,3,3,3,4,4,4,4,5,6,6
Turkmenistan,,,,,,,,,,,,,,,,,,,,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Tuvalu,,,,,,,2,2,2,2,,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uganda,7,7,7,7,7,7,7,6,4,5,,5,5,4,4,4,5,4,5,6,5,5,5,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,5
Ukraine,,,,,,,,,,,,,,,,,,,,3,3,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,3,3,3,3,3,3,3,3,4
United Arab Emirates,5,5,5,5,5,5,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,5,5,5,5,5,6,6,6,6,6,6,6,6
United Kingdom,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
United States,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uruguay,4,5,5,5,6,6,6,6,5,5,,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uzbekistan,,,,,,,,,,,,,,,,,,,,5,6,7,7,7,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6
Vanuatu,,,,,,,,,3,2,,4,4,4,4,4,4,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Venezuela,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6
Vietnam,6,6,6,7,7,7,7,7,7,6,,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Yemen,5.5,5.5,5.5,6,6,6,6,6,6,6,,6,6,6,6,6,6,6,5,5,4,5,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6
Zambia,5,5,4,5,5,5,5,5,6,6,,6,5,5,5,5,5,5,5,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4
Zimbabwe,5,5,5,5,5,5,5,4,4,5,,5,5,6,6,6,5,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5
